
Cidade: 78859, Zona: 0008, Seção: 0021
0,13 WILSON CABELO,9
1,44 GERALDO MENDES,110
2,55 NINA SINGER,149
3,Eleitores Aptos,398
4,Votos nominais,268
5,Votos de legenda,0
6,Votos em branco,8
7,Votos Nulos,15
8,Total Apurado,291

Cidade: 78859, Zona: 0008, Seção: 0231
,Candidato,Votacao
0,13 WILSON CABELO,10
1,44 GERALDO MENDES,104
2,55 NINA SINGER,130
3,Eleitores Aptos,371
4,Votos nominais,244
5,Votos de legenda,0
6,Votos em branco,16
7,Votos Nulos,9
8,Total Apurado,269

Cidade: 78859, Zona: 0008, Seção: 0232
,Candidato,Votacao
0,13 WILSON CABELO,7
1,44 GERALDO MENDES,91
2,55 NINA SINGER,150
3,Eleitores Aptos,354
4,Votos nominais,248
5,Votos de legenda,0
6,Votos em branco,11
7,Votos Nulos,17
8,Total Apurado,276

Cidade: 78859, Zona: 0008, Seção: 0233
,Candidato,Votacao
0,13 WILSON CABELO,8
1,44 GERALDO MENDES,61
2,55 NINA SINGER,148
3,Eleitores Aptos,320
4,Votos nominais,217
5,Votos de legenda,0
6,Votos em branco,13
7,Votos Nulos,15
8,Total Apurado,245

Cidade: 78859, Zona: 0008, Seção: 0236
,Candidato,Votacao
0,13 WILSON CABELO,8
1,44 GERALDO MENDES,101
2,55 NINA SINGER,134
3,Eleitores Aptos,345
4,Votos nominais,243
5,Votos de legenda,0
6,Votos em branco,7
7,Votos Nulos,15
8,Total Apurado,265

Cidade: 78859, Zona: 0008, Seção: 0237
